u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,access,bridge
2784261075,2657406926,0,273589314,False,,unclassified,True,116.37700000000001,"LINESTRING (114.0767338 22.5307429, 114.0766131 22.5308172, 114.0765085 22.5309287, 114.0764602 22.5310253, 114.0764115 22.5311637, 114.0763844 22.5313122, 114.0763773 22.5316747)",,,,,
2784308454,295803575,0,27104957,False,,residential,False,28.962,"LINESTRING (114.0748624 22.5316483, 114.0748683 22.5313879)",,,,,
2784308454,2657406924,0,40998266,True,,primary,False,132.305,"LINESTRING (114.0748624 22.5316483, 114.0761505 22.5316607)",滨河大道辅路,,,,
2784308462,2876870724,0,273594957,False,,residential,False,51.816,"LINESTRING (114.0758548 22.5306561, 114.0753504 22.5306468)",,,,,
2784308462,295803575,0,273594961,False,,residential,True,147.76,"LINESTRING (114.0758548 22.5306561, 114.0758068 22.530763, 114.075713 22.5309229, 114.0756071 22.5310783, 114.0753709 22.5313935, 114.0748683 22.5313879)",,,,,
2784845970,2784845978,0,273649902,False,,residential,True,25.959,"LINESTRING (114.0705085 22.5302449, 114.07061 22.5300311)",,,,,
2784845970,2784846003,0,273649902,False,,residential,False,14.332999999999998,"LINESTRING (114.0705085 22.5302449, 114.0705084 22.5302776, 114.0705081 22.5303738)",,,,,
2784845978,2784845970,0,273649902,False,,residential,False,25.959,"LINESTRING (114.07061 22.5300311, 114.0705085 22.5302449)",,,,,
2784846003,2784845970,0,273649902,False,,residential,True,14.332999999999998,"LINESTRING (114.0705081 22.5303738, 114.0705084 22.5302776, 114.0705085 22.5302449)",,,,,
2784870873,2784870978,0,273652224,True,,trunk_link,False,189.854,"LINESTRING (114.0706152 22.5387506, 114.0702698 22.5387424, 114.0700418 22.5387523, 114.0692157 22.5387548, 114.068767 22.5387587)",,,,,
2784870873,1812925899,0,"[1051842305, 996321290, 237810411]",True,3,secondary,False,528.4000000000001,"LINESTRING (114.0706152 22.5387506, 114.0699537 22.5386857, 114.0686409 22.5386776, 114.0674598 22.5386616, 114.067176 22.5386367, 114.0668941 22.5385945, 114.0666119 22.5385108, 114.0662896 22.5383912, 114.0659178 22.5382509, 114.0655744 22.5381245)",福华路,,,,yes
