u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,junction
7496893668,5292000763,1,801531233,False,,龍峻路 Lung Chun Road,residential,True,357.911,"LINESTRING (114.1548091 22.5042856, 114.1549347 22.5043563, 114.1549804 22.5043824, 114.155529 22.5047137, 114.1556532 22.5047855, 114.1557568 22.5048261, 114.1565281 22.5051278, 114.156561 22.5051323, 114.15667 22.5051471, 114.1567405 22.5051404, 114.1568298 22.5051147, 114.1569243 22.5050634, 114.157023 22.5049204, 114.1570936 22.504776, 114.157352 22.5042579, 114.1574059 22.5041373)",,
7505628093,7505628095,0,804132086,False,1,,unclassified,True,7.336,"LINESTRING (114.1485462 22.5032904, 114.1484971 22.5032425)",,
7505628093,7440997098,0,804132178,False,1,,residential,True,20.505,"LINESTRING (114.1485462 22.5032904, 114.1484846 22.5034658)",,
7505628093,7505628109,0,802393755,True,,,unclassified,False,21.221,"LINESTRING (114.1485462 22.5032904, 114.1486728 22.503185, 114.1487001 22.5031631)",,
7505628095,7505628093,0,804132086,False,1,,unclassified,False,7.336,"LINESTRING (114.1484971 22.5032425, 114.1485462 22.5032904)",,
7505628095,7972792563,0,804132086,False,1,,unclassified,True,162.54500000000002,"LINESTRING (114.1484971 22.5032425, 114.14848 22.5032257, 114.1484619 22.5032088, 114.1484317 22.5031804, 114.1484185 22.5031626, 114.1484012 22.5031551, 114.1483819 22.5031579, 114.1481187 22.503234, 114.1480651 22.5032481, 114.1480272 22.5032518, 114.1479886 22.503253, 114.1479307 22.5032406, 114.1478559 22.5032245, 114.1478237 22.5032357, 114.1476373 22.5033819, 114.1475997 22.503398, 114.1474455 22.5034525, 114.1474066 22.5034723, 114.1473811 22.5034934, 114.1472466 22.5036258, 114.1472201 22.5036454, 114.1471398 22.5036773)",,
7505628109,7505628110,0,802393755,True,,,unclassified,False,9.669,"LINESTRING (114.1487001 22.5031631, 114.1487708 22.5031057)",,
7505628109,1409233949,0,146667646,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,543.97,"LINESTRING (114.1487001 22.5031631, 114.148757 22.5032191, 114.1491654 22.5035986, 114.1491865 22.5036182, 114.1492893 22.5037042, 114.1494352 22.5038293, 114.1497008 22.504048, 114.1498318 22.5041369, 114.1499167 22.5041992, 114.1500773 22.5042994, 114.1503452 22.504479, 114.1506237 22.5046534, 114.1506672 22.5046817, 114.1517348 22.5053771, 114.1521239 22.5056254, 114.1525101 22.5058606, 114.1525297 22.5058727, 114.1529244 22.5060886)",,
7505628110,7505628112,0,146667644,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,7.055,"LINESTRING (114.1487708 22.5031057, 114.1487249 22.5030585)",,
7505628110,7505628113,0,802393760,True,,萃雲路 Sui Wan Road,unclassified,False,21.555999999999997,"LINESTRING (114.1487708 22.5031057, 114.1488488 22.5030424, 114.1488567 22.503036, 114.1489252 22.5029745)",,
