u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
2889056907,2889056080,0,285221679,,unclassified,False,False,151.50199999999998,"LINESTRING (114.0686121 22.5538659, 114.0686362 22.5534894, 114.0686604 22.5533656, 114.0687194 22.5532392, 114.0688106 22.553098, 114.068934 22.5529618, 114.0690501 22.5528526, 114.0691627 22.5527733, 114.0692609 22.5527416)",,,,
2889056907,2889056935,0,285221679,,unclassified,False,True,255.54,"LINESTRING (114.0686121 22.5538659, 114.0685968 22.5543933, 114.0685906 22.5548791, 114.0685888 22.5553172, 114.0685888 22.5556095, 114.069188 22.5555773)",,,,
2889056912,2889056903,0,285221684,,unclassified,False,False,75.987,"LINESTRING (114.0692025 22.5539287, 114.0699376 22.5540069)",,,,
2889056912,2889056907,0,285221684,,unclassified,False,True,61.029,"LINESTRING (114.0692025 22.5539287, 114.0686121 22.5538659)",,,,
2889056912,2889056079,0,285221690,,unclassified,False,False,93.297,"LINESTRING (114.0692025 22.5539287, 114.0691861 22.5547676)",,,,
2889056912,2889056080,0,285221690,,unclassified,False,True,132.136,"LINESTRING (114.0692025 22.5539287, 114.0692609 22.5527416)",,,,
2889056913,2889056901,0,285221673,,unclassified,False,True,74.143,"LINESTRING (114.0723766 22.554025, 114.0724069 22.5546912)",,,,
2889056913,2889056092,0,285221684,,unclassified,False,True,102.1,"LINESTRING (114.0723766 22.554025, 114.0713839 22.5540762)",,,,
2889056913,2889056083,0,285221673,,unclassified,False,False,243.277,"LINESTRING (114.0723766 22.554025, 114.0723096 22.5526304, 114.0722867 22.5522088, 114.0722411 22.5520552, 114.0721606 22.5518583)",,,,
2889056915,277667939,0,285221698,,unclassified,False,True,23.168,"LINESTRING (114.0697842 22.5518372, 114.0700098 22.5518383)",,,,
2889056918,2889056089,0,285221679,,unclassified,False,False,63.786,"LINESTRING (114.0699862 22.5527634, 114.0706031 22.5528303)",,,,
2889056918,277667939,0,285221687,,unclassified,False,True,102.895,"LINESTRING (114.0699862 22.5527634, 114.0700098 22.5518383)",,,,
2889056918,2889056080,0,285221679,,unclassified,False,True,74.73299999999999,"LINESTRING (114.0699862 22.5527634, 114.0696405 22.5527412, 114.0694741 22.5527306, 114.0693636 22.5527273, 114.0692609 22.5527416)",,,,
2889056918,2889056903,0,285221687,,unclassified,False,False,138.361,"LINESTRING (114.0699862 22.5527634, 114.0699379 22.5539945, 114.0699376 22.5540069)",,,,
2889056931,2889056901,0,285221694,,unclassified,False,False,104.455,"LINESTRING (114.07139 22.5547133, 114.0724069 22.5546912)",,,,
2889056931,2889056936,0,285221694,,unclassified,False,True,96.656,"LINESTRING (114.07139 22.5547133, 114.0704494 22.5547453)",,,,
2889056931,2889056092,0,285221695,,unclassified,False,False,70.845,"LINESTRING (114.07139 22.5547133, 114.0713839 22.5540762)",,,,
