u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed,tunnel
5832657762,499543343,0,25421053,True,,,primary_link,False,131.26600000000002,"LINESTRING (114.0505815 22.5426948, 114.0505149 22.5427278, 114.0504547 22.5427466, 114.0503847 22.5427746, 114.0503096 22.5428073, 114.0498772 22.5430726, 114.0497103 22.5431751, 114.0496621 22.5432009, 114.0496054 22.5432289, 114.0495426 22.5432527, 114.0494728 22.5432701)",,,,
5832657762,499543283,0,"[1050725163, 616351220, 1050725164]",True,4,深南大道,primary,False,450.609,"LINESTRING (114.0505815 22.5426948, 114.0492569 22.5426705, 114.0471104 22.5426313, 114.0461947 22.5426145)",,,,
5832657777,5192661986,0,535867196,True,,,primary_link,False,184.334,"LINESTRING (114.0513333 22.5431798, 114.0513042 22.5441664, 114.0512955 22.5442753, 114.0512793 22.5444051, 114.0512606 22.5445114, 114.0512255 22.544695, 114.0512016 22.54483)",,,,
5832657778,5832657777,0,535867196,True,,,primary_link,False,52.399,"LINESTRING (114.0513456 22.5427087, 114.0513333 22.5431798)",,,,
5832657778,5192662017,0,616351220,True,4,深南大道,primary,False,40.451,"LINESTRING (114.0513456 22.5427087, 114.0509518 22.5427015)",,,,
5832657781,7961786812,0,616988614,True,1,,tertiary_link,False,49.513000000000005,"LINESTRING (114.0511998 22.5449922, 114.0512587 22.5451759, 114.0512676 22.5451978, 114.0512778 22.5452198, 114.0512917 22.5452415, 114.0513092 22.5452619, 114.0513304 22.5452809, 114.0513525 22.5452976, 114.0513737 22.5453115, 114.0513924 22.5453202, 114.0514137 22.5453285, 114.0514489 22.5453457)",,,,
5832657781,7961786850,0,996625943,True,3,益田路,secondary,False,38.909,"LINESTRING (114.0511998 22.5449922, 114.0511973 22.5452194, 114.0511966 22.5452692, 114.051196 22.5453421)",,,,
5832657889,7961786798,0,616988616,True,1,,secondary_link,False,57.813,"LINESTRING (114.0506882 22.5453348, 114.0507647 22.5453198, 114.0508552 22.5452865, 114.0509209 22.5452466, 114.0509798 22.5451978, 114.0510292 22.545142, 114.051061 22.5450868, 114.051083 22.5450121)",,,,
5832657889,7961786849,0,853566732,True,,福中三路,tertiary,False,39.944,"LINESTRING (114.0506882 22.5453348, 114.0508679 22.5453374, 114.0509391 22.5453384, 114.0510771 22.5453402)",,,,
5832657901,5832657907,0,616988619,True,1,,tertiary_link,False,52.342,"LINESTRING (114.0515022 22.5454231, 114.0514373 22.5454441, 114.0514042 22.5454549, 114.0513708 22.5454712, 114.0513408 22.5454908, 114.0513144 22.5455129, 114.0512922 22.5455376, 114.0512714 22.5455668, 114.0512557 22.5455992, 114.0512392 22.5456438, 114.0511914 22.545759)",,,,
5832657901,7961786852,0,853601606,True,,福中三路,tertiary,False,31.522,"LINESTRING (114.0515022 22.5454231, 114.0513317 22.5454205, 114.0512798 22.5454197, 114.0511953 22.5454185)",,,,
5832657907,7961771623,0,996625943,True,3,益田路,secondary,False,122.777,"LINESTRING (114.0511914 22.545759, 114.0511792 22.5468631)",,,,
5832657910,7961786851,0,31542517,True,3,益田路,secondary,False,34.787,"LINESTRING (114.0510701 22.5457291, 114.0510733 22.5455485, 114.0510746 22.5454776, 114.0510757 22.5454163)",,,,
