u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
637882078,1599358687,0,146667544,,primary_link,True,False,55.341,"LINESTRING (114.1339862 22.5001555, 114.134075 22.500303, 114.1341122 22.5004116, 114.1341115 22.5004926, 114.1340842 22.5006242)",1,,
637882078,637882079,0,846858425,掃管埔路 So Kwun Po Road,primary,True,False,45.343,"LINESTRING (114.1339862 22.5001555, 114.1341826 22.5002947, 114.1343251 22.5004161)",3,,
637882079,637882076,0,147463823,掃管埔路 So Kwun Po Road,primary,True,False,13.009,"LINESTRING (114.1343251 22.5004161, 114.1344073 22.5005051)",,intersection,
637882079,1599358687,0,147463749,馬會道 Jockey Club Road,primary,True,False,33.997,"LINESTRING (114.1343251 22.5004161, 114.1342312 22.5004807, 114.1340842 22.5006242)",,intersection,
637882088,1449544316,0,"[832251478, 146667590]",龍運街 Lung Wan Street,secondary,True,False,97.87,"LINESTRING (114.1287614 22.5025815, 114.1287547 22.5025743, 114.1286889 22.502504, 114.1286466 22.502443, 114.1285925 22.5023433, 114.1285472 22.5022494, 114.1285044 22.5019028, 114.1285021 22.5018861, 114.1284793 22.5017626)",,circular,
637882094,7369001317,0,147463678,智昌路 Chi Cheong Road,tertiary,False,False,139.859,"LINESTRING (114.1313207 22.5019462, 114.1315185 22.5017487, 114.1320526 22.5012235, 114.132102 22.5011749, 114.1321822 22.5010719, 114.1322147 22.5010037)",,,
637882094,1599358895,0,147463678,智昌路 Chi Cheong Road,tertiary,False,True,119.209,"LINESTRING (114.1313207 22.5019462, 114.1311063 22.5021652, 114.1309128 22.5023588, 114.1307117 22.5025599, 114.1305358 22.5027358)",,,
637882094,2609917525,0,147463684,智明街 Chi Ming Street,residential,False,False,95.75399999999999,"LINESTRING (114.1313207 22.5019462, 114.1313818 22.5020008, 114.1314074 22.5020256, 114.1315702 22.5021693, 114.1319852 22.50255)",,,
637882095,2609917661,0,846858426,馬會道 Jockey Club Road,primary,True,False,44.959,"LINESTRING (114.1322868 22.5025236, 114.1319922 22.5028226)",,,
637882095,2609917525,0,255289097,智明街 Chi Ming Street,residential,True,False,32.767,"LINESTRING (114.1322868 22.5025236, 114.1321736 22.5025732, 114.1320846 22.5025795, 114.1320583 22.5025717, 114.1319852 22.50255)",,,
637882097,1606824184,0,147463683,智昌路 Chi Cheong Road,tertiary,False,False,7.245,"LINESTRING (114.1297733 22.503517, 114.1298204 22.5034685)",,,
